group	PeakID (cmd=annotatePeaks.pl Common_optimal.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Common	primary_peak_21034	chr4	6414904	6415873	+	1000	NA	intron (NM_010945, intron 21 of 30)	intron (NM_010945, intron 21 of 30)	38883	NM_010945	18201	Mm.3059	NM_010945	ENSMUSG00000028245	Nsmaf	AA959567|C630007J05|Fan	neutral sphingomyelinase (N-SMase) activation associated factor	protein-coding
Common	primary_peak_20551	chr3	113629642	113630675	+	1000	NA	promoter-TSS (NM_001038696)	promoter-TSS (NM_001038696)	-9	NM_001038696	67225	Mm.316928	NM_026043	ENSMUSG00000027981	Rnpc3	2810441O16Rik|AI447568|C030014B17Rik	RNA-binding region (RNP1, RRM) containing 3	protein-coding
Common	primary_peak_16687	chr2	3512134	3513386	+	1000	NA	promoter-TSS (NM_015765)	promoter-TSS (NM_015765)	54	NM_015765	50497	Mm.89341	NM_015765	ENSMUSG00000051396	Hspa14	70kDa|HSP70L1|Hsp70-4|NST-1|hsr.1	heat shock protein 14	protein-coding
Common	primary_peak_25937	chr6	72438880	72440154	+	1000	NA	promoter-TSS (NM_145569)	promoter-TSS (NM_145569)	41	NM_145569	232087	Mm.29815	NM_145569	ENSMUSG00000053907	Mat2a	D630045P18Rik|MAT 2	methionine adenosyltransferase II, alpha	protein-coding
Common	primary_peak_27729	chr7	43465177	43466691	+	1000	NA	intron (NM_001290316, intron 4 of 9)	intron (NM_001290316, intron 4 of 9)	2701	NM_001290316	75690	Mm.30200	NM_001290316	ENSMUSG00000070604	Vsig10l	-	V-set and immunoglobulin domain containing 10 like	protein-coding
Common	primary_peak_11355	chr15	81465872	81467007	+	1000	NA	exon (NM_019712, exon 1 of 5)	exon (NM_019712, exon 1 of 5)	123	NM_019712	56438	Mm.29405	NM_019712	ENSMUSG00000022400	Rbx1	1500002P15Rik|AA517855|ROC1	ring-box 1	protein-coding
Common	primary_peak_12645	chr16	46009910	46011200	+	1000	NA	promoter-TSS (NM_001134480)	promoter-TSS (NM_001134480)	-142	NM_001134480	433022	Mm.380993	NM_001134480	ENSMUSG00000087141	Plcxd2	AW494639|EG433022	phosphatidylinositol-specific phospholipase C, X domain containing 2	protein-coding
Common	primary_peak_21748	chr4	88094127	88095195	+	1000	NA	promoter-TSS (NM_001081184)	promoter-TSS (NM_001081184)	31	NM_001081184	230393	Mm.287210	NM_001081184	ENSMUSG00000038368	Focad	-	focadhesin	protein-coding
Common	primary_peak_11256	chr15	78876975	78877735	+	1000	NA	5' UTR (NM_145929, exon 1 of 17)	5' UTR (NM_145929, exon 1 of 17)	165	NM_145929	106039	Mm.251331	NM_145929	ENSMUSG00000033128	Gga1	4930406E12Rik|AU016030|AW209092	golgi associated, gamma adaptin ear containing, ARF binding protein 1	protein-coding
Common	primary_peak_27959	chr7	59228168	59229617	+	1000	NA	5' UTR (NM_011668, exon 1 of 13)	5' UTR (NM_011668, exon 1 of 13)	140	NM_011668	22215	Mm.9002	NM_011668	ENSMUSG00000025326	Ube3a	4732496B02|5830462N02Rik|A130086L21Rik|Hpve6a	ubiquitin protein ligase E3A	protein-coding
Common	primary_peak_13173	chr17	7169182	7170381	+	1000	NA	promoter-TSS (NM_011299)	promoter-TSS (NM_011299)	-334	NM_011299	20112	Mm.268383	NM_011299	ENSMUSG00000023809	Rps6ka2	90kDa|D17Wsu134e|Rps6ka-rs1|Rsk3|p90rsk|pp90rsk	ribosomal protein S6 kinase, polypeptide 2	protein-coding
Common	primary_peak_12522	chr16	36071200	36072379	+	1000	NA	promoter-TSS (NM_027342)	promoter-TSS (NM_027342)	129	NM_198645	381045	Mm.310434	NM_198645	ENSMUSG00000075229	Ccdc58	A930007B11Rik|AI413631	coiled-coil domain containing 58	protein-coding
Common	primary_peak_924	chr1	93478051	93479423	+	1000	NA	promoter-TSS (NM_010891)	promoter-TSS (NM_010891)	180	NM_133808	110611	Mm.30012	NM_133808	ENSMUSG00000034088	Hdlbp	1110005P14Rik|AA960365|AI118566|D1Ertd101e	high density lipoprotein (HDL) binding protein	protein-coding
Common	primary_peak_250	chr1	37864560	37865561	+	1000	NA	promoter-TSS (NM_207228)	promoter-TSS (NM_207228)	22	NM_207228	211484	Mm.332756	NM_207228	ENSMUSG00000060771	Tsga10	4933432N21Rik|AI843383|Gm217|Mtsga10	testis specific 10	protein-coding
Common	primary_peak_15533	chr18	75599735	75600165	+	1000	NA	intron (NM_201354, intron 6 of 11)	RMER1C|Other|Other	85305	NR_045879	100038353	Mm.440724	NR_045879	ENSMUSG00000097712	Gm10532	-	predicted gene 10532	ncRNA
Common	primary_peak_1025	chr1	119525839	119526663	+	1000	NA	promoter-TSS (NM_146103)	promoter-TSS (NM_146103)	97	NM_146103	226351	Mm.439806	NM_146103	ENSMUSG00000098923	Tmem185b	2500001K11Rik	transmembrane protein 185B	protein-coding
Common	primary_peak_3513	chr10	95514604	95515845	+	1000	NA	promoter-TSS (NM_080560)	promoter-TSS (NM_080560)	62	NM_080560	93765	Mm.371667	NM_080560	ENSMUSG00000074781	Ube2n	1500026J17Rik|AL022654|BB101821|UBC13	ubiquitin-conjugating enzyme E2N	protein-coding
Common	primary_peak_29892	chr8	70776509	70777467	+	1000	NA	promoter-TSS (NM_008841)	promoter-TSS (NM_008841)	126	NR_029440	72093	Mm.271208	NR_029440		2010320M18Rik	-	RIKEN cDNA 2010320M18 gene	ncRNA
Common	primary_peak_5488	chr11	87591628	87592550	+	1000	NA	promoter-TSS (NM_133215)	promoter-TSS (NM_133215)	-128	NM_133215	170749	Mm.399376	NM_133215	ENSMUSG00000018401	Mtmr4	AA596759|ESTM44|FYVE-DSP2|ZFYVE11|mKIAA0647	myotubularin related protein 4	protein-coding
Common	primary_peak_880	chr1	91459007	91459843	+	1000	NA	promoter-TSS (NM_011066)	promoter-TSS (NM_011066)	-97	NM_011066	18627	Mm.482463	NM_011066	ENSMUSG00000055866	Per2	mKIAA0347|mPer2	period circadian clock 2	protein-coding
Common	primary_peak_4647	chr11	54860442	54861070	+	1000	NA	promoter-TSS (NM_029327)	promoter-TSS (NM_029327)	-165	NM_029327	75530	Mm.83578	NM_029327	ENSMUSG00000020268	Lyrm7	1700024C24Rik|9330147L21Rik	LYR motif containing 7	protein-coding
Common	primary_peak_5058	chr11	71019073	71020039	+	1000	NA	promoter-TSS (NM_001291148)	promoter-TSS (NM_001291148)	-55	NM_025993	67139	Mm.28227	NM_025993	ENSMUSG00000040599	Mis12	2510025F08Rik|AU044651|Misc12	MIS12 kinetochore complex component	protein-coding
Common	primary_peak_31490	chr9	48984523	48985672	+	1000	NA	promoter-TSS (NM_175482)	promoter-TSS (NM_175482)	-288	NM_175482	235323	Mm.21630	NM_175482	ENSMUSG00000032267	Usp28	9830148O20Rik|AU022237|mKIAA1515	ubiquitin specific peptidase 28	protein-coding
Common	primary_peak_29849	chr8	70138997	70139939	+	1000	NA	promoter-TSS (NM_011266)	promoter-TSS (NM_011266)	-245	NM_001145552	72368	Mm.644	NM_001145552	ENSMUSG00000002345	Borcs8	2310045N01Rik|Mef2bnb	BLOC-1 related complex subunit 8	protein-coding
Common	primary_peak_1084	chr1	127773569	127774766	+	1000	NA	promoter-TSS (NM_028399)	promoter-TSS (NM_028399)	3	NM_028399	72949	Mm.268672	NM_028399	ENSMUSG00000026349	Ccnt2	2900041I18Rik|C81304|CycT2|CycT2a|CycT2b	cyclin T2	protein-coding
Common	primary_peak_19846	chr3	69126548	69127582	+	1000	NA	promoter-TSS (NM_008467)	promoter-TSS (NM_008467)	27	NM_008467	16649	Mm.30601	NM_008467	ENSMUSG00000027782	Kpna4	1110058D08Rik|IPOA3	karyopherin (importin) alpha 4	protein-coding
Common	primary_peak_30116	chr8	83972558	83973081	+	1000	NA	promoter-TSS (NM_008854)	promoter-TSS (NM_008854)	-159	NM_008854	18747	Mm.19111	NM_008854	ENSMUSG00000005469	Prkaca	PKCD|Pkaca	protein kinase, cAMP dependent, catalytic, alpha	protein-coding
Common	primary_peak_19616	chr3	41082594	41083963	+	1000	NA	promoter-TSS (NM_027558)	promoter-TSS (NM_027558)	-232	NM_027558	70804	Mm.40321	NM_027558	ENSMUSG00000049940	Pgrmc2	4631434O19Rik|5730409G06Rik|DG6|PMBP	progesterone receptor membrane component 2	protein-coding
Common	primary_peak_27241	chr7	16614627	16615661	+	1000	NA	promoter-TSS (NM_172739)	promoter-TSS (NM_172739)	-151	NM_172739	232906	Mm.28646	NM_172739	ENSMUSG00000058230	Arhgap35	6430596G11Rik|AI841135|Grlf1|mKIAA1722|p190A|p190RhoGAP	Rho GTPase activating protein 35	protein-coding
Common	primary_peak_20580	chr3	116594366	116595507	+	1000	NA	promoter-TSS (NM_001289568)	promoter-TSS (NM_001289568)	-22	NM_028349	72776	Mm.440836	NM_028349	ENSMUSG00000027959	Sass6	2810453L12Rik	SAS-6 centriolar assembly protein	protein-coding
Common	primary_peak_11649	chr15	98533718	98534706	+	1000	NA	promoter-TSS (NM_001289437)	promoter-TSS (NM_001289437)	57	NM_001289438	69612	Mm.229107	NM_133714	ENSMUSG00000022992	Kansl2	2310037I24Rik|B930009D17	KAT8 regulatory NSL complex subunit 2	protein-coding
Common	primary_peak_3699	chr10	115384314	115385754	+	1000	NA	promoter-TSS (NM_001033261)	promoter-TSS (NM_001033261)	75	NM_001033261	216345	Mm.207621	NM_001033261	ENSMUSG00000034163	Zfc3h1	BC033596|Ccdc131|Psrc2	zinc finger, C3H1-type containing	protein-coding
Common	primary_peak_15794	chr19	5295034	5295978	+	1000	NA	promoter-TSS (NM_030109)	promoter-TSS (NM_030109)	-51	NM_030109	319322	Mm.196532	NM_030109	ENSMUSG00000024853	Sf3b2	145kDa|2610311M13Rik|2810441F20Rik|B230398H18Rik|SAP145|SF3b1|SF3b145|SF3b150	splicing factor 3b, subunit 2	protein-coding
Common	primary_peak_21376	chr4	43656112	43656964	+	1000	NA	promoter-TSS (NM_026871)	promoter-TSS (NM_026871)	-93	NM_026871	68917	Mm.25285	NM_026871	ENSMUSG00000028470	Hint2	1190005L05Rik	histidine triad nucleotide binding protein 2	protein-coding
Common	primary_peak_16368	chr19	41932649	41933845	+	1000	NA	promoter-TSS (NM_001164561)	promoter-TSS (NM_001164561)	67	NM_025644	66583	Mm.289086	NM_025644	ENSMUSG00000034321	Exosc1	2610035C18Rik|2610104C07Rik|2610312F07Rik|AI447561	exosome component 1	protein-coding
Common	primary_peak_14154	chr17	56078869	56079801	+	1000	NA	promoter-TSS (NM_008233)	promoter-TSS (NM_008233)	-322	NM_008233	15193	Mm.12966	NM_008233	ENSMUSG00000002833	Hdgfl2	HRP-2|Hdgfrp2	HDGF like 2	protein-coding
Common	primary_peak_1865	chr1	176813723	176815011	+	1000	NA	promoter-TSS (NM_029756)	promoter-TSS (NM_029756)	-293	NM_029756	76816	Mm.171399	NM_029756	ENSMUSG00000026504	Sdccag8	2700048G21Rik|5730470G24Rik|Cccap	serologically defined colon cancer antigen 8	protein-coding
Common	primary_peak_15846	chr19	6046331	6047167	+	1000	NA	promoter-TSS (NM_001164709)	promoter-TSS (NM_001164709)	173	NM_028769	74126	Mm.149870	NM_028769	ENSMUSG00000024807	Syvn1	1200010C09Rik|AW211966|C85322|D530017H19Rik|Hrd1	synovial apoptosis inhibitor 1, synoviolin	protein-coding
Common	primary_peak_16017	chr19	11965052	11965960	+	1000	NA	promoter-TSS (NM_001033174)	promoter-TSS (NM_001033174)	-338	NM_001033174	76303	Mm.291279	NM_001033174	ENSMUSG00000024687	Osbp	1110018F06Rik|AW559088|mKIAA4220	oxysterol binding protein	protein-coding
Common	primary_peak_25090	chr5	146220638	146221601	+	1000	NA	promoter-TSS (NM_001256087)	promoter-TSS (NM_001256087)	-148	NM_001256086	74132	Mm.26696	NM_028774	ENSMUSG00000029634	Rnf6	1200013I08Rik|5730419H05Rik|AA537053	ring finger protein (C3H2C3 type) 6	protein-coding
Common	primary_peak_27183	chr7	12921500	12922455	+	1000	NA	promoter-TSS (NM_009095)	promoter-TSS (NM_009095)	-334	NM_009095	20103	Mm.5291	NM_009095	ENSMUSG00000012848	Rps5	AA617411	ribosomal protein S5	protein-coding
Common	primary_peak_21173	chr4	21847415	21848584	+	1000	NA	non-coding (NR_028384, exon 1 of 1)	non-coding (NR_028384, exon 1 of 1)	416	NM_025669	66625	Mm.100117	NM_025669	ENSMUSG00000028248	Pnisr	5730406M06Rik|AA673174|Pinsr|Sfrs18|Srsf18	PNN interacting serine/arginine-rich	protein-coding
Common	primary_peak_19791	chr3	61363592	61365079	+	1000	NA	promoter-TSS (NM_028712)	promoter-TSS (NM_028712)	-172	NM_028712	74012	Mm.422674	NM_028712	ENSMUSG00000036894	Rap2b	4021402C18Rik|AA408554	RAP2B, member of RAS oncogene family	protein-coding
Common	primary_peak_12232	chr16	22009082	22009953	+	1000	NA	promoter-TSS (NM_029457)	promoter-TSS (NM_029457)	33	NR_027488	75826	Mm.297431	NM_029457	ENSMUSG00000022855	Senp2	2310007L05Rik|4930538C18Rik|AI646780|AW554757|Smt3ip2|SuPr-1|mKIAA1331	SUMO/sentrin specific peptidase 2	protein-coding
Common	primary_peak_31978	chr9	77917038	77917966	+	1000	NA	5' UTR (NM_134255, exon 1 of 8)	5' UTR (NM_134255, exon 1 of 8)	137	NM_134255	68801	Mm.430736	NM_134255	ENSMUSG00000032349	Elovl5	1110059L23Rik|AI747313|AU043003|HELO1	ELOVL family member 5, elongation of long chain fatty acids (yeast)	protein-coding
Common	primary_peak_19522	chr3	30995313	30996305	+	1000	NA	promoter-TSS (NM_008857)	promoter-TSS (NM_008857)	38	NM_008857	18759	Mm.291554	NM_008857	ENSMUSG00000037643	Prkci	2310021H13Rik|AI427505|PKClambda|Pkci|Pkcl|Prkcl|aPKClambda|mKIAA4165	protein kinase C, iota	protein-coding
Common	primary_peak_30568	chr8	111299405	111300667	+	1000	NA	intron (NM_146218, intron 1 of 12)	CpG	186	NM_146218	234736	Mm.334816	NM_146218	ENSMUSG00000033596	Rfwd3	BC027246	ring finger and WD repeat domain 3	protein-coding
Common	primary_peak_4119	chr11	6443991	6444851	+	1000	NA	promoter-TSS (NM_029938)	promoter-TSS (NM_029938)	22	NM_029938	77605	Mm.27624	NM_029938	ENSMUSG00000041126	H2afv	C530002L11Rik|H2A.Z2|H2a.z-2|H2av|Tg(Wnt1-cre)11Rth|Wnt1-Cre|Wnt1::Cre|Wnt1cre	H2A histone family, member V	protein-coding
Common	primary_peak_24471	chr5	120612328	120613562	+	1000	NA	promoter-TSS (NM_133908)	promoter-TSS (NM_133908)	-185	NM_028041	71990	Mm.24495	NM_028041	ENSMUSG00000029599	Ddx54	2410015A15Rik|AI414901|DP97	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	protein-coding
Common	primary_peak_11184	chr15	76380115	76381225	+	1000	NA	intron (NM_175457, intron 1 of 43)	intron (NM_175457, intron 1 of 43)	157	NM_175457	223658	Mm.123240	NM_175457	ENSMUSG00000022558	Mroh1	D330001F17Rik|Heatr7a	maestro heat-like repeat family member 1	protein-coding
Common	primary_peak_19533	chr3	32396185	32397325	+	1000	NA	Intergenic	Intergenic	-31090	NM_009517	22401	Mm.35705	NM_009517	ENSMUSG00000027663	Zmat3	Wig1	zinc finger matrin type 3	protein-coding
Common	primary_peak_17002	chr2	25224191	25225106	+	1000	NA	promoter-TSS (NM_146116)	promoter-TSS (NM_146116)	54	NM_146116	227613	Mm.227260	NM_146116	ENSMUSG00000036752	Tubb4b	4930542G03Rik|Tubb2c|Tubb2c1	tubulin, beta 4B class IVB	protein-coding
Common	primary_peak_14891	chr18	32067307	32068314	+	1000	NA	promoter-TSS (NM_173441)	promoter-TSS (NM_173441)	76	NM_173441	73473	Mm.66853	NM_173441	ENSMUSG00000024384	Iws1	1700069O15Rik|3000008H23|AL117927|AW214353	IWS1, SUPT6 interacting protein	protein-coding
Common	primary_peak_30759	chr8	121950000	121950795	+	1000	NA	promoter-TSS (NM_016812)	promoter-TSS (NM_016812)	-95	NM_001110100	53325	Mm.287163	NM_016812	ENSMUSG00000025316	Banp	AA408158|SMAR1	BTG3 associated nuclear protein	protein-coding
Common	primary_peak_16457	chr19	45997818	45998726	+	1000	NA	intron (NM_198296, intron 1 of 25)	CpG	216	NM_198296	71617	Mm.210949	NM_198296	ENSMUSG00000039901	Armh3	9130011E15Rik|AI431055|AW050122	armadillo-like helical domain containing 3	protein-coding
Common	primary_peak_9591	chr14	37134615	37135628	+	1000	NA	promoter-TSS (NM_001199122)	promoter-TSS (NM_001199122)	18	NM_001199122	66092	Mm.182912	NM_078478	ENSMUSG00000041028	Ghitm	1010001P14Rik|C77840|MICS1|PTD010|Tmbim5	growth hormone inducible transmembrane protein	protein-coding
Common	primary_peak_6896	chr12	59011524	59012350	+	1000	NA	promoter-TSS (NM_009147)	promoter-TSS (NM_009147)	80	NM_009147	20334	Mm.491137	NM_009147	ENSMUSG00000020986	Sec23a	Msec23|Sec23r	SEC23 homolog A, COPII coat complex component	protein-coding
Common	primary_peak_15551	chr18	77713766	77714641	+	1000	NA	promoter-TSS (NR_027978)	promoter-TSS (NR_027978)	19	NR_027978	67640	Mm.482903	NM_026289		4930465K10Rik	-	RIKEN cDNA 4930465K10 gene	ncRNA
Common	primary_peak_30715	chr8	120588931	120589659	+	1000	NA	promoter-TSS (NM_178856)	promoter-TSS (NM_178856)	-220	NM_178856	272551	Mm.275910	NM_178856	ENSMUSG00000031821	Gins2	2210013I18Rik|4833427B12Rik|AI323585|Pfs2	GINS complex subunit 2 (Psf2 homolog)	protein-coding
Common	primary_peak_13300	chr17	16950993	16951885	+	1000	NA	Intergenic	Intergenic	-112664	NM_001005358	449000	Mm.483718	NM_001005358	ENSMUSG00000096696	Zfp960	-	zinc finger protein 960	protein-coding
Common	primary_peak_28942	chr7	127587894	127588924	+	1000	NA	promoter-TSS (NM_172281)	promoter-TSS (NM_172281)	186	NM_001033040	233899	Mm.25220	NM_001033040	ENSMUSG00000057176	Ccdc189	Gm166	coiled-coil domain containing 189	protein-coding
Common	primary_peak_27694	chr7	38107465	38108224	+	1000	NA	promoter-TSS (NM_007633)	promoter-TSS (NM_007633)	-354	NM_007633	12447	Mm.16110	NM_007633	ENSMUSG00000002068	Ccne1	AW538188|CycE1	cyclin E1	protein-coding
Common	primary_peak_15106	chr18	42274862	42275914	+	1000	NA	promoter-TSS (NM_172626)	promoter-TSS (NM_172626)	35	NM_172626	225432	Mm.329400	NM_172626	ENSMUSG00000024491	Rbm27	A730010I06|AI043120|Psc1|mKIAA1311	RNA binding motif protein 27	protein-coding
Common	primary_peak_21733	chr4	86748067	86749243	+	1000	NA	promoter-TSS (NM_184088)	promoter-TSS (NM_184088)	100	NM_184088	329877	Mm.273718	NM_184088	ENSMUSG00000038024	Dennd4c	1700065A05Rik|AA420392	DENN/MADD domain containing 4C	protein-coding
Common	primary_peak_26531	chr6	118419130	118419978	+	1000	NA	promoter-TSS (NM_194339)	promoter-TSS (NM_194339)	-137	NM_194339	213895	Mm.25269	NM_194339	ENSMUSG00000030138	Bms1	AA408648|AU020092|AU043373|BB007109|BC030906|Bms1l|mKIAA0187	BMS1, ribosome biogenesis factor	protein-coding
Common	primary_peak_29505	chr8	25753737	25754983	+	1000	NA	promoter-TSS (NM_028102)	promoter-TSS (NM_028102)	-80	NM_028102	72108	Mm.246875	NM_028102	ENSMUSG00000061313	Ddhd2	2010305K11Rik|SAMWD1|mKIAA0725	DDHD domain containing 2	protein-coding
Common	primary_peak_3102	chr10	77581436	77582140	+	1000	NA	promoter-TSS (NM_145925)	promoter-TSS (NM_145925)	21	NM_145925	108705	Mm.28853	NM_145925	ENSMUSG00000009291	Pttg1ip	1810010L20Rik|AI314311|AU018448|C79540|PBF	pituitary tumor-transforming 1 interacting protein	protein-coding
Common	primary_peak_13369	chr17	23802700	23803308	+	1000	NA	promoter-TSS (NM_175229)	promoter-TSS (NM_175229)	-183	NM_175229	75956	Mm.5222	NM_175229	ENSMUSG00000039218	Srrm2	5033413A03Rik|AA410130|SRm300|mKIAA0324	serine/arginine repetitive matrix 2	protein-coding
Common	primary_peak_2717	chr10	50592121	50593322	+	1000	NA	promoter-TSS (NM_198007)	promoter-TSS (NM_198007)	52	NM_198007	77987	Mm.222497	NM_198007	ENSMUSG00000038774	Ascc3	ASC1p200|B630009I04Rik|BC023451|D430001L07Rik|D630041L21|Helic1|RNAH	activating signal cointegrator 1 complex subunit 3	protein-coding
Common	primary_peak_2772	chr10	57485820	57486804	+	1000	NA	promoter-TSS (NM_008297)	promoter-TSS (NM_008297)	41	NR_045353	74928	Mm.416643	NR_045353	ENSMUSG00000097370	4930467K11Rik	-	RIKEN cDNA 4930467K11 gene	ncRNA
Common	primary_peak_6774	chr12	40445576	40447357	+	1000	NA	promoter-TSS (NM_178845)	promoter-TSS (NM_178845)	413	NM_172803	238130	Mm.341423	NM_172803	ENSMUSG00000035954	Dock4	5330406C03|6330411N01Rik|AF263288|C030023J22|mKIAA0716	dedicator of cytokinesis 4	protein-coding
Common	primary_peak_27808	chr7	45366967	45367729	+	1000	NA	promoter-TSS (NM_029741)	promoter-TSS (NM_029741)	115	NR_027802	50994	Mm.389897	NM_016664	ENSMUSG00000091510	Mtag2	MAG	metastasis associated gene 2	ncRNA
Common	primary_peak_7069	chr12	76961765	76962854	+	1000	NA	promoter-TSS (NM_001146176)	promoter-TSS (NM_001146176)	-61	NM_008558	17187	Mm.268548	NM_008558	ENSMUSG00000059436	Max	AA960152|AI875693|bHLHd4|bHLHd5|bHLHd6|bHLHd7|bHLHd8	Max protein	protein-coding
Common	primary_peak_30598	chr8	114439262	114440214	+	1000	NA	promoter-TSS (NM_019573)	promoter-TSS (NM_019573)	86	NM_019573	80707	Mm.440420	NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding
Common	primary_peak_644-2	chr1	74397841	74398437	+	1000	NA	TTS (NM_153088)	TTS (NM_153088)	3829	NR_029743	387219		NR_029743	ENSMUSG00000065468	Mir26b	Mirn26b|mir-26b|mmu-mir-26b	microRNA 26b	ncRNA
Common	primary_peak_3453	chr10	93452917	93453826	+	1000	NA	promoter-TSS (NM_008517)	promoter-TSS (NM_008517)	-25	NM_008517	16993	Mm.271071	NM_008517	ENSMUSG00000015889	Lta4h	-	leukotriene A4 hydrolase	protein-coding
Common	primary_peak_14689	chr18	3336733	3338130	+	1000	NA	5' UTR (NM_001110851, exon 1 of 5)	5' UTR (NM_001110851, exon 1 of 5)	158	NM_001110852	12916	Mm.5244	NM_013498	ENSMUSG00000063889	Crem	ICER|ICERI	cAMP responsive element modulator	protein-coding
Common	primary_peak_24853	chr5	137628566	137629445	+	1000	NA	promoter-TSS (NM_001168652)	promoter-TSS (NM_001168652)	-118	NR_033148	100316903	Mm.200763	NR_033148		Gm20605	Lrch4-sap25	predicted gene 20605	ncRNA
Common	primary_peak_19301	chr2	181520157	181520985	+	1000	NA	promoter-TSS (NM_001271585)	promoter-TSS (NM_001271585)	86	NM_016775	13002	Mm.140761	NM_016775	ENSMUSG00000000826	Dnajc5	2610314I24Rik|AU018536|Csp	DnaJ heat shock protein family (Hsp40) member C5	protein-coding
Common	primary_peak_2626	chr10	40882762	40883881	+	1000	NA	promoter-TSS (NM_031877)	promoter-TSS (NM_031877)	-178	NM_027879	71713	Mm.46063	NM_027879	ENSMUSG00000038446	Cdc40	1200003H23Rik|EHB3|PRP17	cell division cycle 40	protein-coding
Common	primary_peak_27395	chr7	25076756	25077633	+	1000	NA	promoter-TSS (NM_001168506)	promoter-TSS (NM_001168506)	-11	NM_001168506	232976	Mm.41568	NM_175477	ENSMUSG00000045252	Zfp574	A630056B21Rik|Znf574	zinc finger protein 574	protein-coding
Common	primary_peak_4230	chr11	20542597	20543686	+	1000	NA	promoter-TSS (NM_021372)	promoter-TSS (NM_021372)	-112	NM_021372	58172	Mm.339676	NM_021372	ENSMUSG00000049800	Sertad2	AB041541|AU021878|Kiaa0127|MNCb-1504|SEI-2|Sei2|TRIP-Br2|mKIAA0127	SERTA domain containing 2	protein-coding
